x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
A112,A0,42.0,A1,A1,A0,A1,A0,A1,A0,A0,45.1,2049.05,A0
A113,A0,13.0,A0,A1,A0,A0,A0,A0,A1,A1,73.35,931.55,A0
A114,A0,44.0,A0,A0,A2,A1,A0,A0,A0,A2,92.95,4122.9,A0
A115,A1,4.0,A0,A0,A2,A0,A1,A0,A0,A3,74.45,294.45,A0
A116,A0,19.0,A0,A0,A2,A1,A1,A0,A0,A3,79.85,1471.75,A1
A117,A1,6.0,A0,A0,A2,A1,A1,A0,A1,A3,74.4,434.1,A1
A118,A0,65.0,A0,A2,A1,A2,A2,,A0,A0,19.55,1218.65,A0
A119,A1,63.0,A0,A0,A0,A1,A1,A0,A0,A3,100.55,6215.35,A1
A120,A1,11.0,A0,A1,A0,A0,A1,A0,A1,A3,51.1,531.15,A0
A121,A0,20.0,A0,A0,A2,A1,A1,A0,A0,A3,88.7,1761.45,A1
A122,A0,3.0,A0,A2,A1,A2,A2,A0,A1,A2,20.0,49.65,A0
A123,A0,69.0,A0,A0,A2,A1,A0,A0,A0,A0,99.45,7007.6,A1
A124,A1,26.0,A0,A1,A0,A1,A1,,A0,A1,56.05,1553.2,A0
A125,A1,23.0,A0,A2,A1,A2,A2,A2,A1,A2,20.4,478.75,A0
A126,A1,70.0,A0,A2,A1,A2,A2,,A0,A2,26.0,2006.95,A0
A127,A1,25.0,A0,A1,A2,A0,A1,A0,A0,A0,69.5,1752.65,A0
A128,A0,1.0,A0,A2,A1,A2,A2,A1,A1,A1,20.4,20.4,A0
A129,A0,11.0,A0,A2,A1,A2,A2,A0,A1,A1,19.95,214.75,A1
A130,A1,69.0,A0,A1,A2,A1,A0,A2,A0,A0,82.45,5555.3,A0
A131,A1,63.0,A0,A0,A0,A1,A0,A0,A1,A0,108.25,6780.1,A0
A132,A0,62.0,A0,A0,A0,A0,A0,A1,A0,A2,92.3,5731.45,A0
A133,A1,52.0,A0,A2,A1,A2,A2,A1,A1,A0,19.6,1012.4,A0
A134,A1,32.0,A0,A0,A0,A0,A0,A0,A1,A2,84.15,2585.95,A1
A135,A0,26.0,A0,unknown,A1,A2,A2,A2,A0,A0,19.15,515.75,A0
A136,A1,50.0,A0,A0,A0,A0,A1,A0,A0,A3,88.05,4367.35,A1
A137,A1,1.0,A0,A0,A2,A0,A0,,A0,A3,79.7,79.7,A1
A138,A1,1.0,A0,A0,A2,A0,A1,A0,A1,A3,76.0,76.0,A1
A139,A0,51.0,A0,A2,A1,A2,A2,A2,A1,A1,24.75,1234.6,A0
A140,A1,50.0,A0,A2,A1,A2,A2,A2,A1,A0,20.15,970.85,A0
A141,A1,28.0,A0,A0,A2,A0,A0,A0,A0,A3,80.6,2244.95,A0
A142,A0,23.0,A1,A1,A2,A1,A1,A2,A1,A1,40.1,857.75,A0
A143,A1,3.0,A0,A2,A1,A2,A2,A0,A1,A1,19.95,58.0,A0
A144,A0,,A0,A2,A1,A2,A2,,A0,A3,20.65,702.05,A0
A145,A1,1.0,A0,A0,A2,A1,A0,A0,A1,A3,94.4,94.4,A1
A146,A0,72.0,A0,A1,A0,A1,A0,A2,A0,A2,87.1,6230.1,A0
A147,A1,72.0,A0,A1,A0,A0,A0,A2,A0,A3,78.95,5730.15,A0
A148,A1,69.0,A0,A1,A0,A1,A1,A1,A1,A2,59.1,4134.7,A0
A149,A0,50.0,A0,A0,A2,,A0,A1,A0,A3,103.95,5231.3,A0
A150,A0,72.0,A0,A0,A2,A1,A0,A2,A1,A2,105.25,7609.75,A0
A151,A1,45.0,A0,A2,A1,A2,A2,,A0,A0,25.9,1216.6,A0
A152,A1,14.0,A0,A0,A2,A0,A0,A0,A0,A3,95.8,1346.3,A0
A153,A0,41.0,A0,A0,A0,A0,A1,A0,A0,A3,89.2,3645.75,A0
A154,A1,22.0,A0,A2,A1,A2,A2,,A0,A1,20.05,417.0,A0
A155,A0,48.0,A0,A2,A1,A2,A2,A2,A1,A0,19.85,916.0,A0
A156,A0,53.0,A0,A0,A0,A0,A0,A1,A0,A2,94.25,4867.95,A1
A157,A1,67.0,A0,A2,A1,A2,A2,A2,A0,A1,24.9,1680.25,A0
A158,A1,53.0,A0,A0,A0,A1,A1,A1,A0,A3,94.0,4871.45,A0
A159,A0,63.0,A0,A0,A0,A1,A0,,A0,A3,102.4,6444.05,A0
A160,A1,46.0,A0,A0,A2,A0,A0,A0,A1,A2,96.05,4399.5,A1
A161,A0,4.0,A0,A2,A1,A2,A2,A0,A1,A1,19.75,78.3,A0
A162,A1,10.0,A0,A1,A2,A0,A1,A0,A1,A1,45.25,428.7,A0
A163,A1,71.0,A0,A2,A1,A2,A2,A2,A1,A2,19.85,1326.35,A0
A164,A0,17.0,A0,A0,A0,A0,A1,A0,A0,A2,80.5,1336.9,A0
A165,A0,53.0,A0,A0,A0,A1,A0,A1,A1,A3,95.95,5036.9,A0
A166,A0,1.0,A0,A2,A1,A2,A2,A0,A1,A3,19.95,19.95,A1
A167,A0,21.0,A0,A2,A1,A2,A2,A0,A1,A0,20.5,402.85,A0
A168,A1,64.0,A0,A0,A0,A0,A0,A2,A0,A2,105.4,6794.75,A0
A169,A1,13.0,A0,A0,A0,A1,A1,A0,A0,A3,84.45,1058.6,A1
A170,A1,47.0,A0,A2,A1,A2,A2,,A0,A1,20.55,945.7,A0
A171,A0,32.0,A0,A0,A2,A0,A1,A0,A0,A3,74.9,2303.35,A1
A172,A1,15.0,A0,A0,A2,,A1,A0,A0,A1,74.45,1145.7,A1
A173,A1,49.0,A0,A0,A2,A0,A0,A0,A1,A0,101.55,5070.4,A0
A174,A0,,A0,A1,A0,A0,A1,A1,A1,A1,53.65,1939.35,A0
A175,A0,35.0,A0,A2,A1,A2,A2,A0,A0,A3,25.6,901.25,A0
A176,A0,41.0,A0,A2,A1,A2,A2,,A0,A1,20.0,879.8,A0
A177,A1,47.0,A0,A0,A2,A1,A1,A1,A1,A0,94.9,4615.25,A0
A178,A0,1.0,A0,A1,A2,A0,A1,A0,A1,A3,46.3,46.3,A0
A179,A0,54.0,A0,A0,A0,A0,A1,A0,A0,A2,79.85,4308.25,A0
A180,A1,67.0,A0,A0,A0,A1,A0,A1,A0,A0,109.7,7344.45,A0
A181,A0,19.0,A0,A1,A2,A0,A0,A0,A1,A1,69.6,1394.55,A0
A182,A0,15.0,A0,A1,A2,A1,A1,A0,A0,A2,59.65,867.1,A0
A183,A0,57.0,A0,A1,A2,A1,A1,A1,A0,A3,53.5,3035.8,A0
A184,A1,1.0,A0,A1,A2,A0,A1,A0,A0,A3,52.2,52.2,A1
A185,A0,17.0,A1,A1,A2,A1,A1,,A1,A0,44.45,792.15,A0
A186,A0,7.0,A0,A1,A2,A0,A1,A0,A1,A3,44.75,333.65,A0
A187,A1,71.0,A0,A1,A2,A1,A0,A2,A0,A0,82.0,5999.85,A0
A188,A0,43.0,A0,A0,A0,A1,A1,A1,A0,A0,90.65,3882.3,A0
A189,A1,17.0,A0,A1,A2,A1,A1,A1,A0,A1,61.95,1070.7,A0
A190,A1,2.0,A0,A0,A2,A0,A1,A0,A0,A3,69.3,153.8,A0
A191,A1,2.0,A0,A2,A1,A2,A2,A0,A1,A1,20.1,39.8,A0
A192,A1,35.0,A0,A1,A2,A1,A0,A0,A0,A3,62.1,2096.1,A0
A193,A1,72.0,A0,A1,A0,A1,A0,A2,A1,A2,80.85,5824.75,A0
A194,A1,25.0,A0,A0,A0,A0,A0,A0,A0,A3,100.25,2387.75,A1
A195,A0,51.0,A0,A2,A1,A2,A2,A1,A0,A1,23.95,1216.35,A0
A196,A0,69.0,A0,A2,A1,A2,A2,A2,A1,A2,19.9,1356.7,A0
A197,A0,12.0,A0,A1,A2,A0,A0,A1,A1,A0,53.65,696.35,A1
A198,A0,1.0,A0,A2,A1,A2,A2,A0,A1,A1,20.15,20.15,A1
A199,A0,,A0,A0,A0,A1,A0,A0,A1,A0,101.3,1794.65,A0
A200,A1,35.0,A0,A0,A2,A0,A1,A0,A1,A3,70.55,2419.0,A0
A201,A0,4.0,A0,A0,A2,A0,A1,A0,A0,A3,70.2,280.35,A0
A202,A1,0.0,A0,A2,A1,A2,A2,A2,A1,A1,20.0,0.0,A0
A203,A1,56.0,A0,A0,A2,A1,A0,A1,A0,A0,99.8,5515.45,A0
A204,A1,19.0,A0,A1,A0,A0,A0,A0,A0,A1,59.8,1130.85,A0
A205,A1,21.0,A0,A0,A2,A0,A0,A0,A0,A3,94.3,1948.35,A0
A206,A1,3.0,A0,A0,A2,A0,A0,A0,A0,A3,89.45,240.45,A1
A207,A1,20.0,A0,A2,A1,A2,A2,A1,A1,A2,19.7,395.6,A0
A208,A0,70.0,A0,A1,A0,A1,A0,A2,A1,A0,90.05,6333.4,A0
A209,A0,8.0,A0,A0,A2,A0,A0,A0,A0,A2,85.65,659.45,A0
A210,A1,7.0,A0,A0,A2,A0,A1,A0,A0,A3,79.0,522.95,A1
A211,A1,62.0,A0,A0,A2,A0,A1,A1,A1,A3,84.45,4959.15,A0
A212,A1,25.0,A1,A1,A2,A0,A1,A0,A0,A2,34.0,853.0,A1
A213,A0,4.0,A0,A0,A2,,A1,A0,A0,A3,80.35,307.4,A1
A214,A0,68.0,A0,A1,A0,A1,A0,A2,A0,A0,88.85,6132.7,A0
A215,A1,29.0,A0,A2,A1,A2,A2,A2,A1,A1,26.1,692.55,A0
A216,A0,2.0,A0,A1,A2,A0,A0,,A1,A2,62.05,118.3,A1
A217,A1,22.0,A0,A1,A2,A0,A1,A0,A0,A0,48.8,1054.6,A1
A218,A0,15.0,A0,A0,A2,A0,A0,A0,A0,A3,93.35,1444.65,A1
A219,A1,71.0,A0,A1,A0,,A0,,A1,A0,93.2,6506.15,A0
A220,A0,1.0,A0,A2,A1,A2,A2,A0,A0,A2,19.65,19.65,A0
A221,A0,56.0,A0,A0,A0,A0,A1,A0,A0,A0,96.95,5432.2,A0
A222,A0,1.0,A0,A0,A2,A0,A1,,A0,A3,74.4,74.4,A1
A223,A1,72.0,A0,A1,A0,A1,A0,A2,A1,A2,85.3,6129.2,A0
A224,A1,14.0,A0,A0,A0,A0,A1,A0,A0,A0,80.05,1112.3,A0
A225,A0,55.0,A0,A0,A0,A1,A0,A2,A0,A3,113.6,6292.7,A0
A226,A1,1.0,A1,A1,A2,,A1,A0,A0,A1,25.7,25.7,A1
A227,A1,12.0,A0,A2,A1,A2,A2,A1,A1,A2,19.8,229.6,A1
A228,A0,2.0,A0,A0,A2,A0,A1,A0,A0,A3,79.95,174.45,A0
A229,A1,2.0,A0,A0,A2,A0,A1,A0,A0,A3,71.65,135.75,A0
A230,A0,3.0,A0,A1,A2,A1,A0,A0,A0,A3,77.4,206.15,A0
A231,A0,18.0,A0,A1,A2,A1,A1,A0,A0,A3,68.35,1299.8,A0
A232,A1,65.0,A0,A1,A2,A1,A1,A2,A1,A0,58.9,3857.1,A0
A233,A1,27.0,A0,A1,A0,A0,A1,A0,A0,A1,56.15,1439.35,A0
A234,A0,66.0,A0,A0,A0,A1,A0,,A1,A0,110.9,7432.05,A1
A235,A1,71.0,A0,A0,A2,A1,A0,,A0,A0,104.1,7412.25,A0
A236,A0,22.0,A0,A0,A0,A1,A0,A1,A0,A1,100.05,2090.25,A0
A237,A1,2.0,A0,A2,A1,A2,A2,A0,A1,A1,19.5,27.55,A0
A238,A1,46.0,A0,A1,A2,A0,A1,A0,A1,A2,44.95,2168.9,A0
A239,A0,17.0,A0,A0,A2,A1,A0,A0,A0,A0,100.45,1622.45,A1
A240,A0,15.0,A0,A2,A1,A2,A2,A1,A0,A1,19.5,239.75,A0
A241,A0,22.0,A0,A1,A2,A0,A1,,A0,A3,51.1,1232.9,A0
A242,A1,16.0,A0,A0,A2,,A0,A0,A0,A3,96.4,1581.2,A1
A243,A1,59.0,A0,A2,A1,A2,A2,A2,A1,A0,19.5,1222.65,A0
A244,A0,4.0,A1,A1,A2,A0,A0,,A0,A3,40.05,162.45,A0
A245,A0,1.0,A0,A1,A2,A1,A1,A0,A1,A3,54.35,54.35,A1
A246,A0,41.0,A0,A1,A0,A1,A1,A1,A1,A2,68.5,2839.95,A0
A247,A1,28.0,A0,A0,A2,A0,A0,A0,A0,A0,101.3,2812.2,A1
A248,A1,61.0,A0,A0,A0,A0,A0,A2,A0,A2,94.35,5703.0,A0
A249,A1,59.0,A0,A1,A0,A0,A1,A1,A1,A1,65.5,3801.3,A0
A250,A1,2.0,A1,A1,A2,A0,A0,A0,A0,A3,34.7,62.25,A1
A251,A0,53.0,A0,A2,A1,A2,A2,A2,A1,A2,19.75,1052.35,A1
A252,A0,7.0,A0,A1,A2,,A0,A0,A0,A0,71.35,515.75,A0
A253,A0,52.0,A1,A1,A0,A0,A1,A1,A1,A1,30.1,1623.4,A0
A254,A0,9.0,A0,A2,A1,A2,A2,A0,A1,A1,20.4,181.8,A0
A255,A0,4.0,A0,A0,A2,A0,A1,A0,A0,A1,69.55,284.9,A0
A256,A0,6.0,A0,A0,A2,A1,A1,A0,A0,A3,80.8,457.1,A0
A257,A0,49.0,A0,A0,A0,A1,A1,A0,A0,A3,88.2,4159.45,A0
A258,A1,1.0,A0,A0,A2,,A1,A0,A0,A3,69.95,69.95,A1
A259,A1,71.0,A0,A0,A0,,A1,A2,A0,A0,99.0,7061.65,A0
A260,A0,52.0,A0,A2,A1,A2,A2,A2,A1,A1,19.2,1054.75,A0
A261,A0,43.0,A0,A0,A2,A0,A0,A1,A1,A1,94.35,3921.3,A0
A262,A0,1.0,A0,A0,A2,A0,A1,A0,A1,A1,70.85,70.85,A1
A263,A1,71.0,A1,A1,A0,A1,A0,A2,A0,A0,61.4,4310.35,A0
A264,A1,4.0,A0,A0,A2,,A1,A0,A0,A3,75.65,302.35,A0
A265,A0,49.0,A0,A1,A0,,A1,A2,A1,A1,49.8,2398.4,A0
A266,A0,18.0,A0,A2,A1,A2,A2,,A1,A3,19.0,348.8,A0
A267,A0,20.0,A0,A1,A2,A1,A0,A0,A1,A0,64.4,1398.6,A0
A268,A0,1.0,A0,A0,A0,A0,A1,A0,A0,A3,75.35,75.35,A1
A269,A1,54.0,A0,A0,A0,,A1,A1,A0,A2,94.75,5121.75,A0
A270,A1,47.0,A0,A1,A0,A0,A0,A2,A1,A1,74.05,3496.3,A0
A271,A1,1.0,A0,A2,A1,A2,A2,A0,A0,A1,19.4,19.4,A0
A272,A0,12.0,A0,A0,A2,A0,A0,A0,A0,A3,96.05,1148.1,A1
A273,A0,14.0,A0,A1,A0,A0,A0,A2,A0,A2,61.4,815.55,A0
A274,A1,12.0,A0,A2,A1,A2,A2,A1,A0,A2,19.35,219.35,A0
A275,A0,34.0,A1,A1,A2,A0,A1,A2,A0,A3,40.55,1325.85,A0
A276,A0,11.0,A0,A2,A1,A2,A2,A2,A1,A0,19.55,223.15,A0
A277,A0,46.0,A0,A0,A0,A1,A1,A0,A0,A3,100.7,4541.2,A1
A278,A0,72.0,A0,A2,A1,A2,A2,A2,A1,A0,19.9,1529.65,A0
A279,A1,15.0,A0,A1,A2,A0,A1,A0,A1,A3,46.3,639.45,A0
A280,A1,25.0,A0,A2,A1,A2,A2,A2,A1,A0,19.8,475.2,A0
A281,A1,43.0,A0,A1,A0,A0,A0,A0,A0,A3,63.95,2737.05,A0
A282,A0,17.0,A0,A2,A1,A2,A2,A1,A1,A2,19.9,329.75,A0
A283,A1,1.0,A0,A0,A2,A0,A1,A0,A0,A1,69.4,69.4,A1
A284,A1,34.0,A0,A0,A0,,A1,A0,A0,A3,96.35,3190.25,A0
A285,A0,4.0,A0,A2,A1,A2,A2,A1,A1,A1,19.7,117.8,A0
A286,A1,2.0,A0,A2,A1,A2,A2,A0,A1,A1,20.35,41.85,A0
A287,A0,1.0,A0,A0,A2,A0,A1,A0,A0,A1,70.6,70.6,A0
A288,A0,9.0,A1,A1,A2,A0,A0,A0,A0,A3,45.4,418.8,A1
A289,A1,67.0,A0,A1,A0,A0,A1,A1,A1,A0,50.55,3431.75,A0
A290,A0,4.0,A0,A1,A0,A0,A1,A0,A0,A2,63.75,226.2,A0
A291,A0,42.0,A0,A0,A2,A1,A0,A1,A0,A3,108.3,4586.15,A0
A292,A1,1.0,A0,A2,A1,A2,A2,A0,A0,A3,21.0,21.0,A1
A293,A1,72.0,A0,A2,A1,A2,A2,A2,A1,A2,25.65,1887.0,A0
A294,A1,43.0,A1,A1,A2,A1,A0,A1,A0,A0,60.4,2640.55,A0
A295,A1,1.0,A0,A1,A2,A0,A1,A0,A0,A1,45.4,45.4,A1
A296,A1,16.0,A0,A0,A2,A0,A1,A0,A0,A3,81.0,1312.15,A1
A297,A1,8.0,A0,A1,A2,A0,A1,,A1,A1,44.45,369.3,A0
A298,A1,66.0,A0,A0,A0,A1,A0,A1,A1,A0,104.6,6819.45,A0
A299,A0,29.0,A0,A1,A0,A1,A0,A1,A1,A0,70.9,1964.6,A0
A300,A1,12.0,A1,A1,A2,,A1,A1,A1,A0,33.15,444.75,A0
A301,A0,64.0,A0,A2,A1,A2,A2,A2,A1,A1,19.55,1240.15,A0
A302,A1,23.0,A0,A0,A2,A0,A1,A0,A1,A2,75.6,1758.6,A1
A303,A0,43.0,A0,A1,A2,A0,A0,A1,A0,A0,71.9,3173.35,A0
A304,A0,62.0,A0,A0,A0,A1,A1,A0,A1,A2,90.7,5586.45,A0
A305,A0,28.0,A0,A2,A1,A2,A2,A2,A0,A0,20.3,487.95,A0
A306,A1,11.0,A1,A1,A2,A0,A1,A0,A0,A3,29.6,346.45,A0
